CO,POLICYNO,RECTYP,ACTYR,ACTMO,DEPEFFYR,DEPEFFMO,DEPEFFDAY,DEPLDGYR,DEPLDGMO,DEPLDGDAY,DEPAMOUNT,PREMIND
GALIC,253107,24,2018,6,2018,6,6,2018,6,6,60,P
GALIC,1014063,24,2018,6,2018,6,17,2018,6,18,-200,S
GALIC,1015508,24,2018,6,2018,6,23,2018,6,25,-115.81,S
GALIC,1016009,24,2018,6,2018,6,22,2018,6,22,-2000,S
GALIC,1016315,24,2018,6,2018,6,1,2018,6,1,-158,S
GALIC,1016324,24,2018,6,2018,6,2,2018,6,4,-249.18,S
GALIC,1019243,24,2018,6,2018,6,9,2018,6,11,-250,S
GALIC,1019312,24,2018,6,2018,6,1,2018,6,1,-500,S
GALIC,1019631,24,2018,6,2018,6,1,2018,6,1,-200,S
GALIC,1023340,24,2018,6,2018,6,8,2018,6,8,-600,S
GALIC,1024309,24,2018,6,2018,6,10,2018,6,11,-895.85,S
GALIC,1024600,24,2018,6,2018,6,15,2018,6,15,200,P
GALIC,1025407,24,2018,6,2018,6,2,2018,6,4,-517.23,S
GALIC,1025494,24,2018,6,2018,6,5,2018,6,5,-1630.33,S
GALIC,1026476,24,2018,6,2018,6,18,2018,6,18,-296.34,S
GALIC,1026501,24,2018,6,2018,6,5,2018,6,5,-300,S
GALIC,1026886,24,2018,6,2018,6,6,2018,6,6,-350,S
GALIC,1027381,24,2018,6,2018,6,3,2018,6,4,-262.94,S
GALIC,1027494,24,2018,6,2018,6,25,2018,6,25,-150,S
GALIC,1028196,24,2018,6,2018,6,7,2018,6,7,-200,S
GALIC,1028202,24,2018,6,2018,6,5,2018,6,5,-1475.62,S
GALIC,1028478,24,2018,6,2018,6,1,2018,6,1,-1129.73,S
GALIC,1028480,24,2018,6,2018,6,26,2018,6,26,-2000,S
GALIC,1028967,24,2018,6,2018,6,18,2018,6,18,-350,S
GALIC,1028967,24,2018,6,2018,6,11,2018,6,11,-1303,S
GALIC,1029446,24,2018,6,2018,6,27,2018,6,27,-13.96,S
GALIC,1030015,24,2018,6,2018,6,19,2018,6,19,-3253.01,S
GALIC,1030078,24,2018,6,2018,6,27,2018,6,27,-100.65,S
GALIC,1030259,24,2018,6,2018,6,19,2018,6,19,-25000,S
GALIC,1030800,24,2018,6,2017,11,1,2018,6,21,0,S
GALIC,1030869,24,2018,6,2018,6,20,2018,6,20,-1000,S
GALIC,1039781,24,2018,6,2018,6,18,2018,6,18,-49.98,S
GALIC,1039935,24,2018,6,2018,6,23,2018,6,25,-123.13,S
GALIC,1046337,24,2018,6,2018,6,27,2018,6,27,-25.47,S
GALIC,1046435,24,2018,6,2018,6,5,2018,6,5,100,P
GALIC,1046712,24,2018,6,2018,6,18,2018,6,18,-24.77,S
GALIC,1049723,24,2018,6,2018,6,8,2018,6,8,-125.79,S
GALIC,2000037,24,2018,6,2018,6,1,2018,6,1,-1471.87,S
GALIC,2000040,24,2018,6,2018,6,2,2018,6,4,-209.11,S
GALIC,2000118,24,2018,6,2018,6,4,2018,6,4,1000,P
GALIC,2000359,24,2018,6,2018,6,7,2018,6,7,-68.11,S
GALIC,2000590,24,2018,6,2018,6,25,2018,6,25,-238.06,S
